22, 0, 1.04175e+08, 2.8989e+07, 3.20914e+07, 2.26813e+07, 8.28446e+06, 1.21292e+07, 1.33412, 612648, 5.95231e+07, 832283, 1358.5, 535833, 423883, 68760.6, 1.95797e+07, 7925.37, 0, 604723, 3.07373e+07, 3.98307e+06, 2.48028e+07, 90.999, 8.96483, 1632.26, 0.0860551, 28, 10, 28, 10, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
14, 0, 6.38997e+07, 1.36881e+07, 1.82958e+07, 1.53141e+07, 7.02075e+06, 9.58103e+06, 1.23457, 566931, 4.48499e+07, 2.11622e+06, 3732.76, 495848, 338568, 63629.5, 1.40494e+07, 7333.96, 0, 559597, 2.41245e+07, 2.13549e+06, 1.859e+07, 116.941, 9.68775, 1763.88, 0.151609, 30.8, 10.6, 30.8, 10.6, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
10, 0, 3.1983e+07, 8.55638e+06, 8.17251e+06, 7.45088e+06, 3.21589e+06, 4.58735e+06, 1.15857, 532033, 3.27606e+07, 2.212e+06, 4157.63, 465325, 278971, 59712.7, 8.9932e+06, 6882.51, 0, 525150, 1.84502e+07, 1.76008e+06, 1.25504e+07, 157.045, 10.3232, 1879.58, 0.322772, 31.25, 12.8, 31.25, 12.8, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
7, 0, 2.36136e+07, 5.77408e+06, 6.21557e+06, 6.62155e+06, 2.10825e+06, 2.89418e+06, 1.13047, 519125, 2.651e+07, 2.36117e+06, 4548.37, 454036, 246590, 58264, 6.71289e+06, 6715.53, 0, 512410, 1.52676e+07, 1.55874e+06, 9.68362e+06, 190.234, 10.5799, 1926.32, 0.448041, 34.43, 16, 34.43, 16, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
5, 0, 1.71658e+07, 4.4921e+06, 4.03444e+06, 5.17922e+06, 1.42367e+06, 2.03635e+06, 1.03777, 476560, 2.21551e+07, 2.0739e+06, 4351.81, 416808, 199321, 53486.7, 5.80765e+06, 6164.9, 0, 470395, 1.27033e+07, 1.26649e+06, 8.18533e+06, 226.682, 11.5249, 2098.37, 0.671386, 43.75, 19.2, 43.75, 19.2, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
3, 0, 1.46709e+07, 3.94239e+06, 3.3056e+06, 4.89161e+06, 1.06942e+06, 1.46183e+06, 1.03225, 474025, 2.05752e+07, 2.12107e+06, 4474.6, 414590, 176583, 53202.2, 5.55644e+06, 6132.1, 0, 467893, 1.14085e+07, 1.11739e+06, 8.04938e+06, 241.99, 11.5865, 2109.59, 0.789763, 68.26, 30, 68.26, 30, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
2, 0, 1.49324e+07, 4.31242e+06, 3.20017e+06, 5.23263e+06, 736558, 1.45059e+06, 1.02343, 480448, 1.81808e+07, 1.86337e+06, 3878.41, 411048, 82831.4, 63221.4, 4.77189e+06, 6079.71, 0, 474369, 1.14816e+07, 603891, 6.09531e+06, 274.009, 11.4316, 2081.39, 0.765558, 120, 42, 120, 42, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
1, 0, 9.72885e+06, 2.46424e+06, 1.97707e+06, 3.77246e+06, 480505, 1.03457e+06, 0.961687, 451462, 1.2695e+07, 2.47665e+06, 5485.84, 386248, 77551.1, 59407.1, 3.38839e+06, 5712.9, 0, 445749, 7.69845e+06, 494064, 4.50246e+06, 362.01, 12.1656, 2215.03, 1.25046, 144, 80, 144, 80, 5.49229e+09, 128, 64, -nan, TR, 0, 4096, 0, 6, 4096, 
22, 0, 7.17783e+08, 8.26187e+07, 9.46085e+07, 0, 5.20562e+08, 1.9994e+07, 1.14499, 604369, 1.39232e+08, 2.13941e+07, 35399, 460061, 508398, 143347, 6.5159e+07, 850.227, 0, 603518, 0, 6.52712e+07, 6.6887e+07, 34.1931, 9.08764, 1654.62, 0.0126607, 28, 10, 28.5, 28, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 0, 6, 4096, 
14, 0, 6.26723e+08, 7.20719e+07, 7.92294e+07, 0, 4.54109e+08, 2.13133e+07, 1.12446, 541449, 1.02698e+08, 1.246e+07, 23012.2, 451811, 406073, 88694.3, 6.67197e+07, 834.981, 0, 540614, 0, 2.54563e+07, 7.08337e+07, 47.6935, 10.1437, 1846.9, 0.0161853, 30.8, 10.6, 41.7825, 41.142, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 0, 6, 4096, 
10, 0, 2.85977e+08, 3.38833e+07, 2.85746e+07, 0, 2.13491e+08, 1.0028e+07, 0.988102, 521557, 6.20062e+07, 1.3323e+07, 25544.6, 397022, 334593, 123705, 3.43118e+07, 733.727, 0, 520823, 0, 2.10058e+07, 3.56206e+07, 72.9105, 10.5306, 1917.34, 0.0368231, 31.25, 12.8, 48, 33, 5.49229e+09, 128, 64, 0.714565, TR, 0.335244, 4096, 0, 6, 4096, 
