22, 4.92881e+07, 1.94068e+06, 6.44531e+06, 1.52841e+07, 5.28118e+06, 2.03368e+07, 2.03892, 1.33941e+06, 3.97883e+07, 1.45971e+06, 849.834, 1.00182e+06, 465134, 145386, 9.3106e+06, 63076.2, 125180, 1.15115e+06, 2.01651e+07, 4.86179e+06, 1.47614e+07, 24.4788, 0.919685, 746.598, 0.0186594, 12, 4, 15.1143, 3.8, 15.1143, 4, 
14, 5.58685e+07, 1.35262e+06, 3.59568e+06, 8.50504e+06, 3.05979e+06, 3.93553e+07, 1.70772, 1.15244e+06, 3.21278e+07, 1.50458e+06, 1000.43, 839087, 351583, 171775, 1.05786e+07, 52830.2, 85441.7, 1.01417e+06, 1.38567e+07, 3.57756e+06, 1.46935e+07, 30.0217, 1.06889, 867.725, 0.0191323, 12, 4, 19.6329, 5.3, 19.6329, 5.3
10, 4.01106e+07, 824641, 2.15982e+06, 5.04744e+06, 1.81445e+06, 3.02643e+07, 1.62739, 1.12736e+06, 2.20441e+07, 1.21779e+06, 831.331, 799617, 228465, 192823, 8.11481e+06, 50345.1, 81422.6, 995590, 8.88434e+06, 2.368e+06, 1.07918e+07, 43.4057, 1.09268, 887.03, 0.0272415, 12, 4, 19.4278, 6.4, 19.4278, 6.4
7, 3.13408e+07, 554405, 1.53916e+06, 4.40708e+06, 1.43033e+06, 2.34098e+07, 1.59999, 1.08624e+06, 1.71585e+07, 1.33896e+06, 951.615, 786151, 215594, 167449, 6.23345e+06, 49497.2, 80051.4, 956696, 6.16295e+06, 2.23576e+06, 8.7598e+06, 54.5859, 1.13403, 920.603, 0.0361839, 12, 4, 21.3246, 8, 21.3246, 8
2, 6.49182e+06, 222843, 561680, 1.38343e+06, 478043, 3.84582e+06, 1.60669, 999307, 8.9995e+06, 798668, 619.765, 789444, 81791.5, 76663.3, 2.04032e+06, 49704.5, 80386.6, 869216, 5.16662e+06, 830782, 3.00209e+06, 103.05, 1.23269, 1000.69, 0.189884, 12, 4, 40, 21, 40, 21
1, 2.93473e+06, 270596, 289803, 705206, 234703, 1.43443e+06, 1.65336, 1.00547e+06, 8.21698e+06, 812983, 629.425, 812373, 78732.2, 56024.7, 1.25618e+06, 51148.2, 82721.5, 871597, 5.23606e+06, 799308, 2.18162e+06, 111.817, 1.22514, 994.563, 0.417461, 12, 4, 102, 40, 102, 40
5, 2.11362e+07, 448044, 1.17808e+06, 1.80489e+06, 654467, 1.70507e+07, 1.62669, 1.08849e+06, 1.39145e+07, 796973, 561.4, 799270, 106165, 154366, 5.3067e+06, 50323.2, 81387.3, 956784, 6.2948e+06, 1.07306e+06, 6.54665e+06, 68.6335, 1.13169, 918.7, 0.0535425, 12, 4, 30.0246, 9, 30.0246, 9
3, 1.4468e+07, 228884, 803398, 1.23329e+06, 451467, 1.1751e+07, 1.56458, 1.01002e+06, 1.24364e+07, 700816, 534.919, 768753, 97060.7, 111563, 4.61621e+06, 48401.8, 78279.8, 883343, 5.70775e+06, 981142, 5.74752e+06, 76.858, 1.21961, 990.075, 0.0842969, 12, 4, 34.8594, 11, 34.8594, 11
32, 1.06359e+08, 3.98216e+06, 1.43105e+07, 3.21269e+07, 1.14601e+07, 4.44789e+07, 2.49076, 1.72253e+06, 6.4782e+07, 2.99381e+06, 1347.53, 1.22383e+06, 869962, 236362, 1.55224e+07, 77054.2, 180459, 1.46501e+06, 2.99725e+07, 9.11897e+06, 2.56905e+07, 14.8977, 0.715133, 580.543, 0.00672379, 12, 4, 14.6588, 3.8, 14.6588, 4
45, 2.22689e+08, 7.56646e+06, 3.13305e+07, 6.30094e+07, 2.26717e+07, 9.81114e+07, 3.11772, 2.27468e+06, 1.17141e+08, 6.36362e+06, 2155.4, 1.53189e+06, 1.70848e+06, 369406, 2.82254e+07, 96449.9, 270905, 1.90733e+06, 5.10644e+07, 1.79498e+07, 4.81264e+07, 8.17544, 0.541542, 439.622, 0.00243183, 12, 4, 14.0847, 3.8, 14.0847, 4
14, 5.58685e+07, 1.35262e+06, 3.59568e+06, 8.50504e+06, 3.05979e+06, 3.93553e+07, 1.70772, 1.15244e+06, 3.21278e+07, 1.50458e+06, 1000.43, 839087, 351583, 171775, 1.05786e+07, 52830.2, 85441.7, 1.01417e+06, 1.38567e+07, 3.57756e+06, 1.46935e+07, 30.0217, 1.06889, 867.725, 0.0191323, 12, 4, 19.6329, 5.3, 19.6329, 5.3
