22, 0, 7.20308e+08, 8.74786e+07, 6.31289e+07, 0, 5.52652e+08, 1.70477e+07, 1.14499, 197891, 4.20946e+07, 5.75155e+06, 29064.3, 64705.8, 159417, 132502, 2.09387e+07, 515.246, 128.811, 197247, 0, 1.9391e+07, 2.16604e+07, 25.7457, 6.22482, 5053.29, 0.00864189, 28, 10, 28.5, 28, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
14, 0, 6.4007e+08, 7.63114e+07, 6.26863e+07, 0, 4.82103e+08, 1.89698e+07, 1.12446, 155209, 3.21435e+07, 3.05475e+06, 19681.5, 63545.5, 127331, 90993.1, 2.25226e+07, 506.006, 126.502, 154577, 0, 7.69629e+06, 2.35021e+07, 34.9971, 7.93661, 6442.91, 0.0123996, 30.8, 10.6, 41.7825, 41.142, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
10, 0, 2.9176e+08, 3.58764e+07, 2.03037e+07, 0, 2.26652e+08, 8.9286e+06, 0.988102, 189004, 1.90505e+07, 4.07399e+06, 21555, 55839.6, 104917, 132575, 1.10991e+07, 444.646, 111.161, 188448, 0, 6.65782e+06, 1.15993e+07, 53.2696, 6.51751, 5290.89, 0.0223386, 31.25, 12.8, 48, 33, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
7, 0, 1.91266e+08, 2.32375e+07, 1.3044e+07, 0, 1.46804e+08, 8.17998e+06, 0.879628, 176369, 1.44949e+07, 4.60916e+06, 26133.6, 49709.6, 92739.3, 126135, 7.50369e+06, 395.833, 98.9582, 175874, 0, 5.7394e+06, 7.92936e+06, 64.4805, 6.98442, 5669.93, 0.0365168, 34.43, 16, 61.071, 34.285, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
5, 0, 1.27154e+08, 1.5594e+07, 7.97105e+06, 0, 9.85162e+07, 5.07308e+06, 0.756216, 144606, 1.19466e+07, 3.57416e+06, 24716.5, 42735.3, 74961.9, 101463, 6.10513e+06, 340.297, 42.5371, 144224, 0, 4.82836e+06, 6.46645e+06, 79.3667, 8.51854, 6915.33, 0.0669937, 43.75, 19.2, 76.5, 36, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
3, 0, 9.67808e+07, 1.17414e+07, 6.00744e+06, 0, 7.41769e+07, 4.85507e+06, 0.64767, 107284, 1.06773e+07, 2.89363e+06, 26971.7, 36601.2, 66410.5, 70332.9, 5.44405e+06, 291.452, 36.4315, 106956, 0, 4.2237e+06, 5.73991e+06, 90.77, 11.482, 9321.06, 0.118639, 68.26, 30, 120, 48, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
2, 0, 6.87718e+07, 8.13334e+06, 4.64265e+06, 0, 5.1383e+07, 4.61279e+06, 0.433791, 86952.4, 6.34021e+06, 1.67876e+06, 19306.7, 24514.4, 31151.7, 62203.6, 3.85334e+06, 195.206, 24.4007, 86732.8, 0, 1.76881e+06, 3.99672e+06, 153.615, 14.1668, 11500.5, 0.205997, 120, 42, 157.5, 57, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
1, 0, 4.6126e+07, 5.43582e+06, 2.86987e+06, 0, 3.43412e+07, 3.47915e+06, 0.397099, 83260.3, 4.59901e+06, 2.15759e+06, 25913.8, 22440.9, 29165.9, 60604.9, 2.7206e+06, 178.694, 22.3368, 83059.3, 0, 1.3128e+06, 2.85245e+06, 182.316, 14.795, 12010.5, 0.320751, 144, 80, 300, 80, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
22, 1, 7.20308e+08, 8.74786e+07, 6.31289e+07, 0, 5.52652e+08, 1.70477e+07, 1.14499, 197891, 5.44704e+07, 5.75155e+06, 29064.3, 64705.8, 159417, 132502, 2.09387e+07, 515.246, 128.811, 197247, 0, 3.06328e+07, 2.17512e+07, 20.4549, 6.22482, 5053.29, 0.00864189, 28, 10, 28.5, 28, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
14, 1, 6.4007e+08, 7.63114e+07, 6.26863e+07, 0, 4.82103e+08, 1.89698e+07, 1.12446, 155209, 3.79316e+07, 3.05475e+06, 19681.5, 63545.5, 127331, 90993.1, 2.25226e+07, 506.006, 126.502, 154577, 0, 1.20636e+07, 2.39779e+07, 30.0548, 7.93661, 6442.91, 0.0123996, 30.8, 10.6, 41.7825, 41.142, 1.23184e+09, 128, 32, -nan, TR, 0, 4096, 1, 18, 4096, 
