technode, 22, wlSwitchMatrix0, slSwitchMatrix0, mux0, muxDecoder0, levelshifter0, ADC0, area_LS_biggest0, levelw0, levelh0, CPP_const0, numFoldedPMOS0, numFoldedNMOS0, NumPFin0, ADCwidth1.672e-07, ADCheight6.16e-07, currentSenseAmp_area 0, multilevelSAEncoder_area 0, subarray_shiftAdd_area 0, subarray_PEadder_area 1.13904e-08, 
technode, 22, wlSwitchMatrix6.02669e-10, slSwitchMatrix3.76788e-10, mux2.90599e-09, muxDecoder1.25136e-09, levelshifter7.68855e-09, ADC2.81961e-09, area_LS_biggest1.54493e-12, levelw1.0032e-06, levelh1.54e-06, CPP_const3.8, numFoldedPMOS11, numFoldedNMOS11, NumPFin0, ADCwidth1.672e-07, ADCheight6.16e-07, currentSenseAmp_area 0, multilevelSAEncoder_area 1.29058e-09, subarray_shiftAdd_area 2.29963e-09, subarray_PEadder_area 1.13904e-08, 
technode, 22, wlSwitchMatrix6.02669e-10, slSwitchMatrix3.76788e-10, mux2.90599e-09, muxDecoder1.25136e-09, levelshifter7.68855e-09, ADC2.81961e-09, area_LS_biggest1.54493e-12, levelw1.0032e-06, levelh1.54e-06, CPP_const3.8, numFoldedPMOS11, numFoldedNMOS11, NumPFin0, ADCwidth1.672e-07, ADCheight6.16e-07, currentSenseAmp_area 0, multilevelSAEncoder_area 1.29058e-09, subarray_shiftAdd_area 2.29963e-09, subarray_PEadder_area 1.13904e-08, 
