technode, 22, 5, subarrayheight, 0.000122712, subarraywidth, 0.000167728, subarray_usedarea, 1.99638e-08, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 6.69601e-11, col_delay, 2.01368e-10, ADC_delay, 0, multisense_delay, 9.81937e-10, WL_delay, 1.3763e-10, encoder_delay, 1.47597e-10, mux_delay, 1.3763e-10, NOR_delay, 0, row_delay, 2.03196e-11, mux_res, 0, capcell_SRAM, 7.50028e-17, capcell_row_SRAM, 1.54656e-16, rescell_SRAM, 2.14934, peBufferarea, 9.05981e-07, tileBufferarea, 7.86225e-07, chipBufferarea, 1.46362e-06, 
technode, 22, 5, subarrayheight, 0.000184769, subarraywidth, 0.000321862, subarray_usedarea, 1.94671e-08, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 0, col_delay, 6.81586e-13, ADC_delay, 0, multisense_delay, 1.33426e-09, WL_delay, 1.00251e-10, encoder_delay, 1.47597e-10, mux_delay, 1.00251e-10, NOR_delay, 0, row_delay, 8.05011e-11, mux_res, 58.1103, capcell_SRAM, 0, capcell_row_SRAM, 0, rescell_SRAM, 0, peBufferarea, 9.83209e-07, tileBufferarea, 7.86225e-07, chipBufferarea, 1.46362e-06, 
technode, 22, 5, subarrayheight, 0.000184769, subarraywidth, 0.000321862, subarray_usedarea, 1.94671e-08, addertree_width, 0, wlSwitchMatrix_width, 0, InputDFF_width, 0, DFF_width, 0, wlDecoder_width , 0, shiftAddInput_height, 0, sramWriteDriver_height, 0, precharger_height, 0, senseAmp_height, 0, addertree_delay, 0, precharge_delay, 0, col_delay, 6.81586e-13, ADC_delay, 0, multisense_delay, 1.33426e-09, WL_delay, 1.00251e-10, encoder_delay, 1.47597e-10, mux_delay, 1.00251e-10, NOR_delay, 0, row_delay, 8.05011e-11, mux_res, 58.1103, capcell_SRAM, 0, capcell_row_SRAM, 0, rescell_SRAM, 0, peBufferarea, 9.83209e-07, tileBufferarea, 7.86225e-07, chipBufferarea, 1.46362e-06, 
